[2026-05-06 16:22:09] [INFO] IP_REMOVED | ip=127.0.0.1 | IP supprimée: 165.169.207
[2026-05-06 16:22:24] [INFO] IP_ADDED | ip=127.0.0.1 | Nouvelle règle: 192.168.1 (sous-réseau)
[2026-05-06 16:22:32] [INFO] POINT_OK | ip=192.168.1.2 | test → out
[2026-05-06 16:24:53] [WARN] RESET_TOTAL | ip=127.0.0.1 | Base effacée par admin
[2026-05-06 16:25:07] [INFO] IP_REMOVED | ip=127.0.0.1 | IP supprimée: 192.168.1
[2026-05-06 16:25:17] [INFO] LOGIN_OK | ip=127.0.0.1 | Connexion admin réussie
[2026-05-06 16:25:26] [INFO] LOGOUT | ip=127.0.0.1 | 
[2026-05-06 20:24:14] [WARN] UNAUTH_ACCESS | ip=127.0.0.1 | /api/admin/pointings
[2026-05-06 20:24:27] [INFO] LOGIN_OK | ip=127.0.0.1 | Connexion admin réussie
[2026-05-06 20:26:19] [INFO] IP_ADDED | ip=127.0.0.1 | Nouvelle règle: 192.168.1 (sous-réseau)
[2026-05-06 20:27:17] [WARN] UNAUTH_ACCESS | ip=192.168.1.2 | /api/admin/pointings
[2026-05-06 20:27:51] [INFO] POINT_OK | ip=192.168.1.2 | bkbjhv → in
